setting,top_k,recall,precision,tokens
REF_collapsed,3,0.75,0.4472222222222222,449.16
REF_collapsed,5,0.83,0.4013333333333333,742.8
REF_collapsed,10,0.94,0.3535039682539683,1415.4
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),3,0.48666666666666664,0.2683333333333333,350.6
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),5,0.6066666666666667,0.2069047619047619,570.76
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),10,0.6066666666666667,0.16771428571428573,770.28
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,3,0.4066666666666666,0.24345238095238095,336.08
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,5,0.4066666666666666,0.22211904761904763,388.08
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,10,0.4066666666666666,0.22211904761904763,404.08
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,3,0.6566666666666667,0.415,316.56
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,5,0.7066666666666667,0.28300000000000003,558.72
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,10,0.8066666666666668,0.18678571428571428,1069.52
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,3,0.41666666666666663,0.30916666666666665,321.96
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,5,0.45666666666666667,0.2512142857142857,424.08
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,10,0.45666666666666667,0.22288095238095237,529.76
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,3,0.7766666666666667,0.455,317.52
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,5,0.82,0.393,532.4
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,10,0.94,0.26345238095238094,1053.16
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,3,0.45666666666666667,0.3225,321.96
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,5,0.53,0.2990714285714286,446.88
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,10,0.53,0.2483095238095238,629.92
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,3,0.44666666666666666,0.28,293.88
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,5,0.6066666666666667,0.21600000000000003,493.88
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,10,0.6066666666666667,0.16709523809523807,788.6
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,3,0.36666666666666664,0.26,275.2
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,5,0.4066666666666666,0.23066666666666666,380.08
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,10,0.4066666666666666,0.22266666666666665,520.48
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,5,0.6666666666666667,0.28800000000000003,491.0
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,10,0.8066666666666668,0.196,981.52
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,3,0.41666666666666663,0.32666666666666666,275.2
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,5,0.45666666666666667,0.26,412.08
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,10,0.45666666666666667,0.22366666666666668,642.16
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,3,0.7366666666666667,0.4666666666666666,293.88
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,5,0.82,0.4,488.84
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,10,0.94,0.276,986.44
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,3,0.45666666666666667,0.34,275.2
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,5,0.53,0.308,430.88
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,10,0.53,0.24933333333333332,734.32
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,3,0.44666666666666666,0.29333333333333333,293.88
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,5,0.6066666666666667,0.23200000000000004,493.88
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,10,0.6066666666666667,0.1810952380952381,711.72
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,3,0.4066666666666666,0.2733333333333333,263.2
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,5,0.4066666666666666,0.24333333333333332,327.2
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,10,0.4066666666666666,0.24333333333333332,343.2
scale=0.0_bias=0.05_expand=off_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.0_bias=0.05_expand=off_kb=3_focus=0.6,5,0.6666666666666667,0.29600000000000004,491.0
scale=0.0_bias=0.05_expand=off_kb=3_focus=0.6,10,0.8066666666666668,0.204,981.52
