setting,top_k,recall,precision,tokens,nodes_scored
REF_collapsed,3,0.38,0.24712962962962962,303.68,13787
REF_collapsed,5,0.42,0.21232655826558264,500.44,13787
REF_collapsed,10,0.51,0.18419338366240803,1011.17,13787
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),3,0.27,0.15666666666666665,298.97,1698.21
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),5,0.28,0.10800000000000001,499.66,1698.21
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.6_(v1),10,0.36,0.07103846153846155,1011.16,1698.21
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,3,0.27,0.13333333333333333,298.04,1669.17
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,5,0.29,0.09200000000000001,499.66,1669.17
scale=0.0_bias=0.0_expand=off_kb=2_focus=0.85,10,0.38,0.060074175824175825,1011.66,1669.17
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,3,0.29,0.2033333333333333,299.09,2396.78
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,5,0.32,0.146,495.41,2396.78
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.6,10,0.38,0.094,997.04,2396.78
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,3,0.3,0.16666666666666669,299.09,2337.59
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,5,0.32,0.12,493.71,2337.59
scale=0.0_bias=0.0_expand=off_kb=3_focus=0.85,10,0.39,0.07600000000000001,996.26,2337.59
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,3,0.33,0.2333333333333333,294.63,3840.76
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,5,0.38,0.20800000000000002,492.12,3840.76
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.6,10,0.42,0.139,987.99,3840.76
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,3,0.34,0.18666666666666665,293.83,3717.73
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,5,0.37,0.16,491.35,3717.73
scale=0.0_bias=0.0_expand=off_kb=5_focus=0.85,10,0.43,0.111,987.29,3717.73
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,3,0.27,0.15666666666666665,292.0,1710.8
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,5,0.28,0.10800000000000001,489.78,1710.8
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.6,10,0.36,0.07200000000000001,985.85,1710.8
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,3,0.27,0.13333333333333333,291.07,1681.44
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,5,0.29,0.09200000000000001,489.78,1681.44
scale=0.0_bias=0.0_expand=on_kb=2_focus=0.85,10,0.38,0.061000000000000006,985.85,1681.44
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,3,0.29,0.2033333333333333,292.12,2411.63
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,5,0.32,0.146,488.44,2411.63
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.6,10,0.38,0.095,981.69,2411.63
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,3,0.3,0.16666666666666669,292.12,2351.86
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,5,0.32,0.12,486.74,2351.86
scale=0.0_bias=0.0_expand=on_kb=3_focus=0.85,10,0.39,0.07600000000000001,980.91,2351.86
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,3,0.33,0.2333333333333333,289.95,3858.55
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,5,0.38,0.20800000000000002,485.15,3858.55
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.6,10,0.42,0.139,978.11,3858.55
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,3,0.34,0.18666666666666665,289.15,3734.94
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,5,0.37,0.16,484.38,3734.94
scale=0.0_bias=0.0_expand=on_kb=5_focus=0.85,10,0.43,0.111,977.41,3734.94
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,3,0.27,0.15666666666666665,294.34,1698.72
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,5,0.28,0.10800000000000001,492.12,1698.72
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.6,10,0.36,0.07200000000000001,988.19,1698.72
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,3,0.27,0.13333333333333333,293.41,1669.66
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,5,0.29,0.09200000000000001,492.12,1669.66
scale=0.0_bias=0.05_expand=off_kb=2_focus=0.85,10,0.38,0.061000000000000006,988.19,1669.66
