config_name,avg_gold_similarity,avg_fact_recall,avg_context_precision,avg_context_recall,avg_distractor_rate,avg_retrieval_latency_ms,avg_generation_latency_ms,avg_total_latency_ms,avg_context_tokens,avg_qasper_f1,avg_qasper_em,avg_faithfulness
fixed_512__hybrid_rerank__k5,0.826381824016571,0.826,0.376,0.93,0.04,1588.6549080722034,2761.997528001666,4350.6524360738695,2470.12,nan,nan,nan
fixed_512__hybrid__k5,0.8225324678421021,0.738,0.35200000000000004,0.8733333333333333,0.032,14.826419968158007,2830.202936027199,2845.029355995357,2352.52,nan,nan,nan
fixed_512__hybrid_rerank__k3,0.8208679127693176,0.7633333333333333,0.48,0.86,0.06666666666666667,850.4897879250348,2618.301556073129,3468.791343998164,1499.84,nan,nan,nan
fixed_512__vector__k10,0.8197101926803589,0.7513333333333334,0.23600000000000002,0.9466666666666668,0.024000000000000004,12.150340024381876,3322.9990000277758,3335.1493400521576,4652.6,nan,nan,nan
fixed_512__hybrid_rerank__k10,0.8165186500549316,0.8340000000000001,0.23600000000000002,1.0,0.032,3357.9588040336967,3259.333188049495,6617.291992083192,4860.72,nan,nan,nan
fixed_256__hybrid__k10,0.8163145160675049,0.7859999999999999,0.28,0.9466666666666668,0.027999999999999997,12.908932007849216,2835.517983995378,2848.4269160032272,2414.24,nan,nan,nan
fixed_256__hybrid_rerank__k10,0.8138220000267029,0.7473333333333333,0.292,0.94,0.04,2023.6321000009775,2879.0488840080798,4902.680984009057,2465.56,nan,nan,nan
fixed_256__vector__k10,0.8122217869758606,0.7593333333333334,0.29600000000000004,0.94,0.032,12.155876029282808,3014.1349680162966,3026.2908440455794,2431.44,nan,nan,nan
fixed_256__hybrid__k5,0.8109390664100647,0.7,0.392,0.8866666666666667,0.032,12.6938640139997,2451.2111439928412,2463.905008006841,1202.4,nan,nan,nan
fixed_512__bm25__k10,0.8108825397491455,0.7993333333333333,0.2,0.87,0.027999999999999997,0.5455920845270157,2955.605928003788,2956.151520088315,4493.52,nan,nan,nan
fixed_512__hybrid__k10,0.809410970211029,0.8140000000000001,0.228,0.9466666666666668,0.028000000000000004,14.415063988417387,3326.8244319222867,3341.239495910704,4596.68,nan,nan,nan
